title,language,director,plot
Room (2015 film),American,Brie Larson,akron ohio 24yearold joy newsome 5yearold son jack live squalid shed call room share bed toilet bathtub television rudimentary kitchen window skylight captives man call old nick jacks biological father abducted joy seven years prior routinely rapes jack sleeps closet tries stay optimistic son suffers malnutrition depression allows jack believe room contents real rest world exists television old nick tells joy lost job threatens may able afford supplies future night jack overcome curiosity ventures closet old nick asleep bed mother joy horrified awakens sees interaction slapping old nick away punishment cuts heat power joy decides tell jack outside world reacts disbelief incomprehension also curiosity jack fake fever hoping old nick take hospital alert authorities old nick says return following day antibiotics joy wraps jack carpet play dead hope old nick remove room falling ruse old nick places jack back pickup truck drives residential neighborhood although stunned first exposure outside world jack jumps truck attracts attention passerby police arrive rescue police discover joy well take jack hospital old nick captured imprisoned reunited family joy learns parents divorced mother new partner leo returns jack childhood home mother leo reside father cannot accept jack grandchild leaves jack struggles adjust life larger world speaking mother expressing desire return room joy struggles anger depression lashing mother becoming worried jacks lack interaction real things suggestion familys lawyer joy agrees television interview becomes upset interviewer questions decision keep newborn jack instead asking old nick take hospital overwhelmed guilt attempts suicide jack finds unconscious bathroom admitted hospital jack misses mother begins settle new life bonds new family meets leos dog seamus makes friends boy age believing long hair give joy strength needs recover jack grandmother cut send joy returns home apologizes thanking jack saving life jacks request visit room one last time escorted police jack confused feels shrunk different place door open joy say goodbyes room leave
Carriers,American,"Alex Pastor, David Pastor",infectious virus spread worldwide killing almost entire population disease spread breath two brothers brian daniel danny green along brians girlfriend bobby dannys school friend kate heading turtle beach southwestern united states secluded beach motel believe wait viral pandemic die start new life strictly follow set rules believe keep alive stop becoming infected way meet man frank holloway infected young daughter jodie stranded middle deserted road due suburban running fuel attempting drive away car breaks four end returning frank order acquire car forced take frank jodie nearby high school serum pandemic rumored developed upon arrival discover serum work doctor still alive commit suicide remaining group infected children plans kill nonvoluntary euthanasia meanwhile bobby accidentally infected jodie trying help coughs blood hides infection others wiping face hiding blood covered shirt jodie tells father needs toilet however cant walk alone due illness frank carries jodie toilet telling danny knows hes good person however brian leaves frank jodie behind takes car stop golf course hotel brian almost becomes infected nearly slipping swimming pool containing body infected man however danny manages grab time bobby talks believing infected still unsure jodies blood infected however despite bobbys efforts prevent brian kisses inadvertently infects bobby berates kate believing parents may still alive suddenly small group armed survivalists using golf course base ambush capture group tense mexican standoff declare intent keep girls force girls disrobe check infection discover bobbys rashes bruises force away gunpoint kate stresses end dead bobby continues travel brian ends leaving weeping bobby behind deserted gas station almost run fuel encounter two women heading opposite direction brian blocks road suv danny asks help stating pregnant wife car fellow christian refuse desperate brian shoots fuel try drive away ends shot leg danny breaks seemingly abandoned house search medical supplies treat brothers wound forced shoot stray dog attempts attack danny soon discovers brother also infected tending brians wound kate urges danny leave brian whilst sleeping two try leave brian wakes discovered car keys brian refuses give danny correct car keys unless continue travel despite dannys pleas brian admits doesnt want end alone like rest infected tells danny shoot wants keys brians urging danny shoots brian burns mask infected body afterwards danny kate reach turtle beach
The House Next Door,Bollywood,Milind Rau,film opens ancient chinese mother daughter seem spend happy moments mother pregnant movie moves present happy couple krishnakanth aka krish siddharth lakshmi andrea jeremiah make love bringing memories times met love blossomed notice new family moving next house krish neurosurgeon specializes deep brain stimulation dbs cure parkinsons close another doctor dr prasad psychiatrist two families get along well jennifer aka jenny eldest daughter crush krish everything goes well suddenly dinner party krish sees jenny jumping nearby well informing family jumps well saves lakshmi angry krish impulsively jumping deep well quarrels night krish forcefully kisses end sex night jenny seizures krish helps time another dinner krishs house jenny panics seeing strange figure parents forcefully take home people house start noticing strange things next morning jenny selfaware goes towards cliff jump sarah follows slips towards another cliff saved krish paul goes towards jenny stop returns home without saying anything still trance passes house father takes psychiatrist krishs recommendation reveals two specific things thought abnormal voice speaking chinese another terrifying incident toilet psychiatrist feels something wrong visits jennys room one day permission father takes tries decipher mental state reading condition room also finding recent internet searches ghosts tablet book exorcism lying drawer upon seeing concludes jenny mustve made image mind shes possessed spirit krish jennys dad plan administer fake exorcism help church pastor father joshua order bind spirit hell breaks loose revealing really possessed powerful spirit chinese mother resulting father joshua getting injured admitted hospital comatose state jenny returns normal state confirm going grandfather calls psychic jennys father dismisses one night servant house prepares voodoo doll chase bad spirit scolded paul occult house night hit ghost way voodoo doll wrapped shawl impaled head nail next morning paul looks around room finds voodoo doll bed appears fingernail marks bed frame evidently spooked tells father call psychic using power psychic talks spirit signals two three spirits house third one revealed actually malevolent force would let leave house lakshmi announces pregnant within days falls ladder seeing scary figure water tank actually attempting cause miscarriage child survives krish gets suspended constantly distracted figures operation theater causing hemorrhage patient operated dr prasad help local police inspector starts researching family used live house finding eye witness knew happened family simultaneously psychic using comb belonged chinese daughter begins place pieces mystery dr prasad krish go see witness village tells flashback eight years old revealed house belonged rich chinese silk merchant lived wife daughter wished pregnant wife bear male child satan worshiper sacrifice girl child time solar eclipse get male child achieve purpose kidnapped eight year old witness collecting flowers garden nearby usual eight year old saved time wife left option sacrifice daughter hit wife fell unconscious luring daughter beheaded using sacrificial sword wife regaining consciousness couldnt bear sight dead daughter floor cursing husband took knife pierced abdomen killing unborn child telling need male child sacrificing female child husband realizing loss takes life drowning nearby well returning present father orders family pack leave house lakshmi chased hospital two spirits guide father joshuas room day solar eclipse old woman speculates chinese merchant would return complete ritual lakshmi calls krish tells discharged headed see jenny krish comes back village request lakshmi stay jenny lakshmi tricks krish locks jennys room impeding till eclipse ends reveals father joshua seen day exorcism though jenny set free force tried stop prayers father joshua room force none krish krish jumped well night save jenny chinese merchants spirit possessed meanwhile psychiatrist room krish also figures chinese merchant krish common dates birth krish possessed kills psychiatrist gruesome way escapes window krish spirits chinese mother chinese daughter trying protect family frightening leave house eclipse begins spirit chinese merchant takes full control krish begins searching target revealed sarah sacrifice complete ritual though lures tries kill family members spirits chinese mother chinese daughter fight krish trying distract eclipse ends finally succeed removing spirit body end krish lakshmi shown settled goa jenny along dad comes meet jenny requests meet son revealed viewers krish possessed chinese merchants spirit sex lakshmi resulting baby actually born chinese merchant instead couple unaware film ends camera panning towards boy seated room slowly revealing face focusing iris eye splits double iris screen cuts black
.hack//The Movie,Japanese,Hiroshi Matsuyama,story taking place 2024 follows life sora yuki 14yearold girl persuaded friends play popular game called world due incident world anomalies start occurring real world
Seven Footprints to Satan,American,Benjamin Christensen,jim eve young society couple kidnapped eve jims departure africa brought mansion home strange glamorous satanic cult
Tales from the Darkside: The Movie,American,John Harrison,movie opens betty affluent suburban housewife modernday witch deborah harry planning dinner party main dish timmy matthew lawrence young boy captured chained pantry stall stuffing roasting boy tells three horror stories book gave titled tales darkside first segment michael mcdowell adapts arthur conan doyles short story lot 249 graduate student named bellingham played steve buscemi cheated two classmates susan julianne moore lee robert sedgwick framed theft ruin chances winning scholarship competing revenge bellingham reanimates mummy uses murder susans brother andy christian slater kidnaps bellingham burns parchment mummy considers killing bellingham end cannot bring commit real murder however bellingham brings susan lee back dead switched reanimation parchment similar one dispatches andys dorm greet terrified andy saying bellingham sends regards second tale george romero adapts stephen king short story name drogan wealthy wheelchairbound old man william hickey brings hitman named halston david johansen bizarre hire kill black cat drogan believes murderously evil drogan explains three occupants house cat arrived sister amanda dolores sutton friend carolyn alice drummond familys butler richard gage mark margolis drogan claims one one cat killed three next drogans pharmaceutical company killed 5000 cats testing new drug convinced black cat exact cosmic revenge halston doesnt believe story willing eliminate cat since drogan offering 100000 drogan returns house see deed done finds cat killed halston climbing throat cat emerges hitmans corpse jumps drogan giving fatal heart attack third final segment written michael mcdowell based yukionna spirit yōkai japanese folklore specifically lafcadio hearns version kwaidan stories studies strange things despondent artist named preston james remar witnesses gruesome murder committed gargoylelike monster monster agrees spare prestons life long swears never speak saw describe monsters appearance anyone monster vanishes leaving preston traumatized confused bound oath never talk incident night prestons life takes many turns better meets beautiful woman named carola rae dawn chong fall love marry two children prestons struggling art career becomes wildly successful life seems promising tormented memories encounter monster vow silence weighs one night breaks tells carola monster even showing statue sculpted appears upset first preston assumes thinks lying lets heartbroken screech reveals creature met night prestons promise broken longer remain human children transform monstrous forms well kills preston though says loved gathers children flies away final scene shows gargoyle children turned stone upon building ledge staring prestons body sorrowful expressions betty remarks timmy saved best story lovers vow last says next one best happy ending replies late start cooking none stories book happy endings betty advances timmy narrates actions throwing marbles floor causing slip fall butchers block impaling tools timmy releases pushes oven film ends timmy helping cookie breaking fourth wall saying dont love happy endings
Struck by Lightning,Australian,Jerzy Domaradzki,garry mcdonald plays ollie grumpy alcoholic workshop supervisor shelter called saltmarsh hires pat brian vriends school teacher develop experimental fitness program intellectually disabled young adults shelter pat teaches pe decides try get involved soccer interesting results jill ollies social worker ollie calls bitch
Bronco Bullfrog,British,Barney Platts-Mills,film follows fortunes 17yearold del del walker group friends film opens four youths del roy chris geoff seen breaking cafe stratford east london get away ninepence cake clear hardly master criminals back hut waste ground mention jo sam shepherd known bronco bullfrog reasons never explained got borstal del roy chris geoff hardly seen film meet jo caff link carry bigger robbery meanwhile del meets irene anne gooding friend cousin chris start relationship despite disapproval irenes mother dels father remainder film follows del irene attempt escape deadend lives
Hutch the Honeybee,Japanese,Tetsurō Amino,hutch male bee along friends begins find mother queen bee bees attacked group wasps hutch makes friends several insects ami human girl talk
Power ***,Kannada,K. Madesh,krishna prasad prabhu politician driven idealistic values sense social service followers brother sathya dharma supporters shobharaj sharath lohitashwa people krishnannas constituency elect legislator krishna ardent follower dr rajkumar establishes independent political empire consensus ideals proposed rajkumar krishna prasads dream see son politician revered people time meets fatal accident brother followers also killed 14 years later krishna prasads son bharath puneeth rajkumar becomes daring supercop mumbai mission apprehend mafia nayak kelly dorjee involved illegal drug trade extortion arms trafficking later revealed krishna prasad actually survived accident ended state coma however truth hidden krishna prasads family people bharath maintains low profile catch nayak undercover operation spain bharath gets hold nayaks brother bunty later revealed corrupt opposition leader doddanna also tied nayak mastermind behind krishna prasads accident planned derail krishnas political empire opposing illegal businesses relation nayak bharath falls love prasanthi trisha krishnan meets spain operation prasanthi daughter bharaths higher officer avinash cop reports police commissioner vinod alwa bangalore city bharaths dad comes coma doctors advise family krishna prasad risk encounters hears anything upsetting disturbing shocking bharath hides events surrounding dads accident shifts family dads previously abandoned mansion used film making bharath creates dummy political setup mansion guise reality television program bharath tricks aspiring unsuccessful film actor p vibhushan rangayana raghu making believe television show sponsored film star v ravichandran ravichandran wants offer p vibhushan high remuneration realistic performance show hand aspiring actor kamangi kidney sadhu kokila also tricked bharath bharath also tricks gouda real estate business deal exploit criminal nexus bharath keeps drama wraps krishna prasad making krishna prasad believe bharath mla revered people fulfilling dads wishes also marries love prasanthi make father happy rest plot reveals politiciancriminal nexus behind krishna prasads accident comic misadventures lead krishna prasad knowing truth bharaths retaliation nayak rudreshs political corruption
The Painted Stallion,American,William Witney,wagon train travelling independence missouri santa fe means trouble alfredo dupray authority spain end arrival mexican governor plots solve intercepting trade agreement negotiated clark stuart wagon train disrupt mexicounited states relations repeated attacks thwarted however appearance mysterious rider painted stallion issues warnings whistling arrows help clark stuart along historical characters kit carson jim bowie davy crockett work defeat dupray eventually assist arrival united states cavalry treaty signed leaving stuart rider ride away together
Norbit,American,Brian Robbins,norbit albert rice eddie murphy kate thomas thandie newton best friends children orphanage doubles chinese restaurant owned father figure hangten wong murphy separated kate gets adopted unnamed family bullied twins playground one day norbit saved tough overweight girl named rasputia latimore murphy scares boyfriend turn protects bullies protects norbit children intimidates letting norbit play years later adults rasputias bullying nature gets worse grows grumpy arrogant vindictive meanspirited woman eventually pressures norbit marrying bullies insults controls make sure keeps norbit also belittled rasputias older brothers big black jack terry crews blue lester rasta speight earl clifton powell working bookkeeper local building company latimore brothers also run security business instill fear everyone town except mr wong person community doesnt put antics refuses sell business norbit discovers rasputia cheating dance instructor buster perkin marlon wayans carelessly brushes like nothing happened norbit yells rasputia becomes angered chases couple blocks escapes throws away wedding ring due deception norbit vents anger rasputias infidelity puppet show children orphanage unexpectedly show norbit sees kate first time since childhood stunned return affection reignites learns buying mr wongs orphanage disappointed find following tuesday engaged deion hughes cuba gooding jr help two expimp friends pope sweet jesus eddie griffin lord mercy katt williams townspeople norbit manages meet kate without rasputias knowledge revealed crooked businessman gold digger deion helps latimore brothers plan turn orphanage strip club called nipplopolis get cut profit latimore brothers dupe norbit getting kate sign papers renew restaurants liquor license put latimores name norbits meeting kate leads helping rehearse wedding kiss two makes reconsider getting married norbit returns home learns rasputia witnessed whole thing drove past fainted threatens kill kate ever sees norbit kate confronts norbit finding deal sees window basement locked away villainous rasputia norbit reluctantly insults kate deliberately driving away rasputia follow previous threat kill kate satisfied norbit hurting kates feelings rasputia adds norbit played kate setting since first day came back town heartbroken kate runs away rasputia relishes sadness laughing mocking fed stress norbit decides leave town good first tries warn kate deion ignores latimores reveal evil plan norbit lock basement blue chosen rasputia stay keep watch latimores leave go wedding norbit escapes basement past blues guard races church bicycle though latimores try stop norbit reaches church informs kate deions gold digging schemes unfortunately proof deions divorce settlements destroyed process due falling pond trying escape clutches latimores however deions exwives children show person revealing conflicting tales norbit arranged provide proof deions wrongdoings confronted deion declares defeat runs effectively ending marriage furious plans permanently ruined latimore brothers try attack norbit finding townspeople standing blind rage rasputia fights way crowd spade prepares attack norbit runs away harpooned rear mr wong brothers chased town norbits friends kate avows love norbit passionate kiss two reconcile norbit officially divorces rasputia using affair buster attempted murder grounds norbit kate buy orphanage get married tree played children rasputia brothers essentially fugitives move mexico open el nipplopolis rasputia becomes popular lucrative stripper never seen
Ambush at Cimarron Pass,American,Jodie Copelan,eastwood appears southern cowboy keith williams upset join group yankees attacked group indians film guides include entry film quote attributed eastwood probably lousiest western ever made2 film also notable scene brady beats eastwood fistfight
Ganja & Hess,American,Bill Gunn,film follows dr hess green duane jones wealthy black anthropologist research myrthians ancient african nation blood drinkers one night staying greens lavish mansion richly decorated african art unstable assistant george meda writerdirector gunn threatens suicide green successfully talks later night meda attacks stabs green myrthian ceremonial dagger kills green survives discovering body drinks medas blood become vampire endowed immortality need fresh blood though steals several bags blood doctors office finds needs fresh victims soon medas estranged wife ganja meda marlene clark arrives greens house searching husband green meda quickly become lovers moves greens expansive mansion unwittingly discovers husbands corpse frozen greens wine cellar initially upset agrees marry host turns vampire well ganja initially horrified new existence green teaches survive soon brings young man home ganja seduces kills two vampires dispose body water eventually green becomes disillusioned life resolves return christian church headed chauffeur sam waymon returning home kills standing front cross ganja though saddened death lives presumably continuing vampiric lifestyle film ends young man ganja earlier killed rising water naked alive running towards
Stray Cat Rock: Sex Hunter,Japanese,"Hasebe, YasuharuYasuharu Hasebe",plot revolves rivalry female gang alleycats led mako men eagle gang run baron member alleycats turns advance one eagles susumu favor halfblack boyfriend eagle leader baron whose sister raped mixedrace individual moves rid town racially mixed population problems ensue mixedrace stranger kazuma finds favor alleycats leader mako questions race relations nationality especially pertinent since film shot near u naval base yokosuka4
The Brothers,British,David MacDonald,set western isles scotland long murderous grudge two clans macraes mcfarishes patricia roc plays serving girl whose arrival work macraes reinflames conflict causes internal powerstruggle two brothers macrae clan played maxwell reed duncan macrae
Tomie: Re-birth,Japanese,Takashi Shimizu,artist named hideo painting girlfriend tomie miki sakai dismisses poor painting kills jealous rage art knife two friends shunsuke takumi help bury three friends party tomie shows artist kills bathroom tomie latches onto shunsuke mother kills tomie cut together unnatural ecstasy burn head already started regenerate crude limbs locomotion portrait tomie allows regeneration supernatural blood mixed pigments takumis girlfriend hitomi gets possessed tomie rather viral fashion fit jealousy two tomies try eliminate hitomi doesnt want become monster decide commit suicide however waterfall commit suicide tomies head grows side hitomis neck next head die takumis sister comes throws flowers water small facial mole seen directly beneath sisters left eye suggesting takumi gave portrait tomie also possessed thus sister newest tomie
Mouna Guru,Tamil,Shantha Kumar,college goer karunakaran arulnidhi always finds difficult adjust society lives result unable control anger often ends trouble unpredictable behaviour become constant worry mother brother series incidents forces leave home town madurai end chennai despite scoring high marks school joins local arts college city stays hostel trouble begins meanwhile traveling bangalore chennai assistant commissioner marimuthu john vijay inspector rajendran madhu subinspector selvam balakrishnan sgthead constable perumalsamy krishnamurthy witness car accident take victim son bangalorebased business tycoon nearby hospital come across huge stash cash policemen kill half dead victim flee chennai money sincere police officer palaniammal uma riyaz khan takes case cluster lies ego clash hostel familys ignorance brings innocent karunakaran crime plot rest racy rollercoaster ride forms climax
The Notebook,American,Nick Cassavetes,modernday nursing home elderly man duke reads romantic story notebook fellow patient 1940 seabrook island south carolina poor quarry worker noah calhoun smitten 17yearold heiress allison allie hamilton seeing carnival summer love affair fall madly love noah takes allie abandoned house intends buy try make love first time interrupted noahs friend fin news allies parents police looking allie noah return parents mansion allies mother anne calls noah trash ban seeing noah noah walks allie chases ensuing argument break next morning anne announces family returning home charleston allie attempts contact noah unable find asks fin tell noah loves noah gets message rushes allies home find house gated empty noah writes allie every day year anne intercepts letters never reach allie noah enlists fin fight world war ii fin killed battle allie volunteers hospital wounded soldiers meets officer lon hammond jr young lawyer comes old southern money years together two become engaged delight allies parents noah returns war father sold home noah buy abandoned house visiting charleston noah witnesses allie lon kissing restaurant convinces restores house allie come back allie startled read newspaper noah completed house specifications made years allie returns seabrook find noah living restored house two renew relationship make love morning anne appears noahs doorstep warning allie lon followed seabrook anne reveals youth love lowerclass young man still thinks gives allie letters noah wrote admitting hid allie allie confesses lon spending time noah tells knows remains indecisive ultimately goes back relationship noah present revealed elderly woman allie suffering dementia duke actually noah told allie onset illness reread journals help remember briefly remembers reconcile soon forgets panics forcing medical personnel sedate noah heart attack sent hospital allie sent dementia ward hospital visits room middle night remembers expressing may forget noah reassures anything love share fall asleep together allies bed dying sleep nurse discovering morning
I Am a Dad,South_Korean,Unknown,han jongsik kim seungwoo corrupt detective frames innocent people career one victims takes revenge jongsik killing wife injuring daughter minji kim saeron need heart transplant help sick daughter starts working mob boss deals organ trafficking na sangman son byongho magician one people falsely accused murder discovers daughter dead wife coma suicide attempt thing mind vengeance released two years behind bars officials find accident innocent tracks detective kim im haryong jongsiks colleague reopen murder case meanwhile sookyung choi jungyoon organ transplant coordinator locates heart minji jongsik finds heart sangmans wife realizing sangman would allow transplant finds way get rid sangman discovers plans kidnaps daughter34
Lilo & Stitch,American,"Chris Sanders, Dean DeBlois",dr jumba jookiba arrested put trial galactic federation illegal genetic experimentation evidenced creation experiment 626 small sentient creature unparalleled intelligence strength also propensity cause chaos jumba imprisoned experiment 626 sentenced exile desert asteroid 626 manages escape spaceship activates hyperdrive causing guidance systems malfunction randomly set course earth 626 crash lands hawaiian island kauaʻi knocked unconscious three passing trucks taken animal shelter grand councilwoman dispatches jumba agent pleakley councils expert earth planet 626 captured discreetly kauaʻi young woman named nani struggling caring rambunctious friendless younger sister lilo following death parents car accident social worker named cobra bubbles expresses increasing concern nani unable take adequate care lilo reduce lilos grief nani decides let lilo adopt dog shelter lilo immediately takes keen interest experiment 626 impersonating dog order escape captivity spite nanis doubts lilo names 626 stitch shows around island evening lilo stitch eat dinner restaurant nani works jumba pleakley try fail capture stitch resulting chaos blamed stitch causing nani fired next day cobra warns nani doesnt get another job cobra place lilo foster family nani attempts find another job lilo tries educating stitch elvis presley calls model citizen however stitchs antics including evading jumba pleakley ruin nanis chances finding work nanis friend david invites nani lilo take break enjoy day surfing nani lilo stitch ride huge wave jumba makes one final effort capture stitch underwater causing nani wipe stitch unintentionally pulls lilo although everyone gets safely shore cobra witnesses unfortunate event telling nani although means well lilo taken away seeing much trouble caused stitch runs next morning councilwoman relieves jumba pleakley assignment giving militant captain gantu instead freeing jumba pursue stitch using less covert methods meanwhile david informs nani job opportunity nani rushes pursue stitch hiding nearby woods encounters jumba chases stitch back lilos house fight ensues ends lilo nanis house blown cobra arrives collect lilo take away nani cobra argue lilo runs away encounters stitch reveals alien identity moments captain gantu captures stitch manages escape gantus ship takes confronted nani explain jumba pleakley capture stitch nani demands help rescue lilo jumba insists came stitch nani breaks stitch reminds nani ʻohana term family learned lilo convinces jumba help rescue lilo jumba pleakley stitch nani give chase jumbas spaceship eventually rescue lilo back land grand councilwoman appears prepares take stitch custody retire gantu kidnapping lilo lilo insists stitch pet local law cannot taken away impressed stitchs newfound civility empathy councilwoman decrees stitch live exile earth entrusted care lilo nani asks cobra turns former cia agent met previously 1973 watch together rebuild house jumba pleakley become members lilo stitchs family well film ends various footage pictures stitch new familys life together song burning love playing
Barry Munday,American,Chris D'Arienzo,barry munday patrick wilson lonely womanizer wakes attacked realize hes missing family jewels make matters worse learns hes facing paternity lawsuit filed woman ginger judy greer cant remember sex though unintentional two discover meeting subsequent accidents opened new opportunities personal growth relationships
Thotta,Tamil,Selva,shanmugham jeevan comes chennai mother search father raj kapoor get place see living another wife hussle kills old wife sends boy outside beg comes dead mother auto driver chandrasekhar helps cremate body gives money asks go back city shanmugham wanted read become great man gets caught corrupt police guys used jobs involved murder grows becomes big rowdy name thotta bullet highly corrupt police officer dcp murugavel sampath kumar also uses lot encounters takes credit gets promoted commissioner level one incident asked put acid girl nalinas priyamani face finds girl auto drivers daughter house helps family poverty lot gifts also loves nalinas aim become police officer tells shanmugham commissioner influence promises get job kills minister big rival chief minister livingston instance murugavel nalina goes murugavel job latter insists sex shanmugham finds happened murugavel part ways shanmugham friend giri vishnupriyan also rowdy gets married nice girl gauri mallika wants separate rowdy group get settled tries send encounters much thought shanmugham lets go separately murugavel kills giri encounter prabhakar charan raj cbi officer wants get shanmugham alive whereas murugavel wants killed otherwise would deep trouble one made shanmugham rowdy shanmugham overpowers duo whether nalina becomes police officer forms climax story
Maska,Telugu,B Gopal,krish ram happygolucky guy lives brother sisterinlaw love girl named manju sheela manju happens daughter simhachalam mukesh rishi krishs intention become rich marrying doesnt feelings whatsoever towards herhe weaves love story girl called meenakshi aka meenu hansika motwanito make manju fall also meets meenu starts like real falls love meanwhile simhachalam shinde pradeep rawat run presidential election delhi shinde man misdeeds shinde tries find faults simhachalams personal life expose front high command party route clear get party ticket shinde comes learn simhachalam another wife sita daughter live hyderabad sends men find story takes twist learn meenu unofficial daughter simhachalam krish tie knot win election happens next forms suspense movie
Bait,British,Frank Richardson,british mystery concerns gang four jewel thieves led diana napier steal two highly valuable diamonds set earrings napier sells dishonest businessman willoughby goddard country estate gang plans return later steal back however goddards longlost halfbrother john bentley suddenly returns estate accompanied new fiancée patricia owens bentley wants claim half inheritance soon discovers halfbrother squandered family fortune engaged buying selling stolen gems confronts goddard panics hits bentley head poker strike death blow shot rings goddard falls dead police arrest bentley murder soon release lack evidence meanwhile patricia owens tries find real killer playing one members gang happens old boyfriend hers3
A Day at the Beach,British,Simon Hesera,set rundown danish seaside resort depicts day life bernie selfdestructive alcoholic takes winnie young girl leg brace resort despite constant rain though winnie calls bernie uncle likely biological father course day encounter various people bernie alternately berates scams alcohol winnie often left alone fend
Western Mail,American,Robert Tansey,lucky webster fred kohler jr member rivers gang uneasy stealing us mail robbing trains tom allen tom keene undercover working sheriff big bill collins glenn strange capture arrest gang julia webster jean trent concerned brother lopez mendoza frank yaconelli provides humor toms sidekick
Wedding Crashers,American,David Dobkin,john beckwith owen wilson jeremy grey vince vaughn divorce mediators washington dc crash wedding parties meet bed women end season successful crashes jeremy takes john wedding daughter us secretary treasury william cleary christopher walken inside pair set sights clearys daughters gloria isla fisher claire rachel mcadams jeremy ends sex gloria nearby beach reception gloria possessive quickly becomes obsessed jeremy jeremy urges john escape reception meanwhile john attempts court claire maid honor interrupted hotheaded boyfriend sack lodge bradley cooper unfaithful disrespectful behind back gloria invites jeremy john extended weekend party family compound john overrules jeremy accept get closer claire john jeremy become acquainted clearys home secretarys wife jane seymour sexually harasses john glorias brother todd keir odonnell tries seduce jeremy night gloria continues lavish unwanted sexual attention jeremy sack repeatedly injures jeremy game touch football dinner john spikes sacks wine eyedrops make sick get time connect claire john claire continue bond next day sailing trip suspicious sack takes men hunting trip jeremy shot buttocks recovers john claire go bike ride secluded beach claire finally admits unsure feels sack ends kissing john passionately meanwhile gloria tends jeremys wounds reveals innocent inexperienced initially let jeremy realizes played may love gloria ready confess everything claire convince marry sack john interrupted jeremy chased house sack investigated revealed john jeremys identities family betrayed claire turns away john secretary tells leave following months john attempts reach claire refuses see john attempts crash claire sacks engagement party caught beaten sack confronting jeremy abandoning learns jeremy secretly continued relationship gloria betrayed john spirals depression crashing weddings alone becoming nihilistic suicidal meanwhile claire sack plan wedding claires doubts grow jeremy proposes gloria tries ask john best man depressed john refuses john visits jeremys former wedding crashing mentor chazz reinhold uncredited ferrell convinces crash funeral reconsiders belief love marriage rushes jeremys wedding john joins wedding midceremony jeremys delight claire upset appearance prompting john profess love regret past behavior front congregation sack interrupts claire finally tells cannot marry sack tries attack john jeremy intervenes knock john claire kiss wedding two couples drive away ceremony together discussing crashing another wedding together
Shabri,Bollywood,Lalit Marathe,film starts accidental death kisnya younger brother villain insists shabri handed police murder inspector khare murad friendly neighbor shabri family bookie forcefully opposes shabri guilty murder wicked police inspector khare tried rape police station front younger brother already tortured khare killing kisnya murad shabri murderers run away mumbai farmhouse uptown nevertheless traced rajdar bhaus gang even helped corrupt officer named inspector kadam shoot murad gets shot captured gang later put death two dozen bullets angry rajdhar bhau wants avenge kisnyas death shabri taken kadams flat drunk officer tries rape shabri somehow manages run away shooting kadam foot breaking bottle beer head another friend late murad namely vilas helps interesting character irfan kazi played zakir hussain enters story interesting possible make good evil nevertheless encounter cop fed killing criminals wishes something creative entertainment giving shabri inside knowhow rajdar bhaus gang unknown egotist rajdar almost every one fed selfishness boss standing brink rebellion climax shabri last comes face face rajdar bhau shocked learn shabri beg mercy kill gangster standing around friends shabri ready kill rajdar signal guns pointed rajdar bhau using leadership qualities kazis contacts convinced future well getting rid rajdar bhau reorganizing shabris chief work equal partners rajdar bhau shabris approval shoots movie ends shabri powerful chief kills vilas takes mother give better life
The Mind of Mr. Soames,British,Alan Cooke,film tells story thirtyyearold man john soames coma since brain injury birth revived shows behavior child monitored two doctors attempting find rehabilitated adult world
Thunder in the Night,American,George Archainbaud,torok police captain budapest pleased friend count peter alvinczy elected presidency governments cabinet alvinczy married madalaine whose first husband paul szegedy long believed dead turns threatens publicly embarrass alvinczy revealing wife already married szegedys mistress partner theatrical act katherine szabo tries vain change mind even telling torok police precinct occurring goes scheme blackmail madalaine soon found dead torok shot heart street madelaine becomes prime suspect toroks investigation placed arrest husband confesses murder trying protect torok however deduces katherine sharpshooter performing act picked gun police station one looking window shot lover found katherine kills torok releases madalaine promising keep secret protect friend
Hitler,Bollywood,T L V Prasad,siddhant sharma mithun chakraborty senior prison official widely known hitler rigid disciplinarian manner prison foils planned escape gangster arranged gang beats sacks corrupt prison officer home siddhant equally authoritarian family able relax away work especially hard wayward brother amar unwilling get job hangs around street street amar sees young woman priya apparently kidnapped rescues comically incompetent attackers discover arranged order get money father corrupt businessman priya amar fall love meanwhile gangsters try bribe siddhant allowing escape prisoner none daulatram priyas father confronts siddhant accuses instructing amar woo priya sharma family inherit wealth siddhant asks amar explain amar tells priya love furious daulatram embarrassing brother amar confronts threateningly brandishing knife front witnesses leader gangsters conflict daulatram sees happening takes opportunity kill daulatram frame amar get back siddhant unknown phone left hook call police leaving taped recording events answering machine police station daulatram found stabbed death police arrest amar siddhant convinced guilt wife sheila lawyer refuses believe intends defend amar discover truth daulatrams murder investigating injured road accident amar learns escapes prison pursued brother finds gangsters grabbing sacked prison guard siddhant followed siddhant shoots amar wounding siddhant anguish tape recording found police exonerating amar siddhant arrests gangster leader however gangsters make doctored version tape rearranging conversation implicate amar gangster boss released manages capture amar priya siddhant comes negotiate gangster reveals siddhants whole family kidnapped wired explosives forces siddhant amar try kill fight death siddhant allows apparently beaten athletic leap grabs detonator gangster leader siddhant amar fight defeat gangsters taken custody back home family siddhant leaves behind hitler persona learns relax dancing michael jacksons bad
